#NEXUS

[1 samples from mcmc run generated by language trees. File written 11-Aug-2021 13:44:13]
[This file contains the values of XI at each leaf.]
[For associated trees see same file with .nex extension]
[Sample 	armenian   	lycian   	luvian   	hittite   	oldirish   	welsh   	latin   	oscan   	umbrian   	oldenglish   	gothic   	oldhighgerman   	oldnorse   	lithuanian   	oldprussian   	oldcslavonic   	latvian   	oldpersian   	vedic   	avestan   	tocharian_b   	tocharian_a   	albanian   	greek   	]
          21 	0.99964815 	0.46929548 	0.45218737 	0.92459219 	0.98942108 	0.99972813 	0.99979906 	0.00018971 	0.15428979 	0.99972558 	0.88896617 	0.99974512 	0.99966414 	0.99992718 	0.82001560 	0.99008616 	0.99988715 	0.09941922 	0.99982729 	0.92394326 	0.92651018 	0.84527859 	0.99995859 	0.99983975 	
          22 	0.99964815 	0.46929548 	0.45218737 	0.92459219 	0.98942108 	0.99972813 	0.99979906 	0.00018971 	0.15428979 	0.99972558 	0.88896617 	0.99965151 	0.99966414 	0.99992718 	0.82001560 	0.99008616 	0.99988715 	0.09941922 	0.99982729 	0.92394326 	0.92651018 	0.84527859 	0.99995859 	0.99983975 	
          23 	0.99964815 	0.46929548 	0.45218737 	0.92459219 	0.98942108 	0.99972813 	0.99979906 	0.00018971 	0.15428979 	0.99972558 	0.87265040 	0.99965151 	0.99966414 	0.99992718 	0.82001560 	0.99008616 	0.99988715 	0.09941922 	0.99984599 	0.92394326 	0.92651018 	0.84527859 	0.99995859 	0.99983975 	
          24 	0.99964815 	0.46929548 	0.33860928 	0.92459219 	0.98942108 	0.99972813 	0.99979906 	0.03023798 	0.15428979 	0.99972558 	0.87265040 	0.99965151 	0.99966414 	0.99992718 	0.82001560 	0.99008616 	0.99988715 	0.09941922 	0.99984599 	0.92394326 	0.92651018 	0.84527859 	0.99995859 	0.99983975 	
          25 	0.99964815 	0.46929548 	0.33860928 	0.92459219 	0.98942108 	0.99972813 	0.99979906 	0.03023798 	0.15428979 	0.99972558 	0.87265040 	0.99965151 	0.99966414 	0.99992718 	0.82001560 	0.99008616 	0.99988715 	0.09941922 	0.99984599 	0.92394326 	0.92651018 	0.87733340 	0.99993589 	0.99983975 	
          26 	0.99964815 	0.46929548 	0.33860928 	0.92459219 	0.98942108 	0.99972813 	0.99979906 	0.03023798 	0.15428979 	0.99961822 	0.87265040 	0.99965151 	0.99963906 	0.99992718 	0.82001560 	0.99008616 	0.99994709 	0.09941922 	0.99984599 	0.92394326 	0.92571322 	0.87733340 	0.99993589 	0.99990160 	
          27 	0.99964815 	0.46929548 	0.27498154 	0.92459219 	0.98942108 	0.99972813 	0.99979906 	0.03023798 	0.38555761 	0.99961822 	0.87265040 	0.99965151 	0.99963906 	0.99992718 	0.82001560 	0.99008616 	0.99994709 	0.09941922 	0.99984599 	0.92394326 	0.92571322 	0.87733340 	0.99993589 	0.99990160 	
          28 	0.99964815 	0.46929548 	0.27498154 	0.92459219 	0.98942108 	0.99972813 	0.99979906 	0.03023798 	0.38555761 	0.99944026 	0.87265040 	0.99965151 	0.99963906 	0.99992718 	0.82001560 	0.99008616 	0.99994709 	0.09941922 	0.99984599 	0.92394326 	0.92571322 	0.87733340 	0.99991436 	0.99992033 	
          29 	0.99964815 	0.46929548 	0.27498154 	0.92459219 	0.98942108 	0.99972813 	0.99979906 	0.03023798 	0.38555761 	0.99944026 	0.87265040 	0.99965151 	0.99963906 	0.99992718 	0.82001560 	0.99008616 	0.99994709 	0.08841704 	0.99984599 	0.92394326 	0.92571322 	0.88011549 	0.99991436 	0.99992033 	
          30 	0.99963875 	0.45512471 	0.25562224 	0.92257867 	0.98913861 	0.99972087 	0.99979369 	0.00434359 	0.36915089 	0.99942532 	0.86924993 	0.99964221 	0.99962942 	0.99992523 	0.81520969 	0.98982144 	0.99994785 	0.06407613 	0.99984187 	0.92191241 	0.92372963 	0.87691435 	0.99991207 	0.99995450 	
          31 	0.99963875 	0.14611965 	0.25562224 	0.92257867 	0.98913861 	0.99972087 	0.99979369 	0.00434359 	0.36915089 	0.99925187 	0.86924993 	0.99964221 	0.99962942 	0.99992523 	0.81520969 	0.98982144 	0.99994785 	0.06407613 	0.99984187 	0.92191241 	0.92372963 	0.87691435 	0.99991207 	0.99995450 	
          32 	0.99966255 	0.20236524 	0.30465483 	0.92767846 	0.98985405 	0.99976204 	0.99980728 	0.06992805 	0.41070529 	0.99930115 	0.87786252 	0.99969870 	0.99965383 	0.99993016 	0.80052795 	0.99515395 	0.99993183 	0.12572597 	0.99985229 	0.92705609 	0.92875361 	0.88502208 	0.99991786 	0.99997066 	
          33 	0.99966255 	0.20236524 	0.30465483 	0.92767846 	0.98985405 	0.99976204 	0.99988933 	0.06992805 	0.41070529 	0.99930115 	0.87786252 	0.99969870 	0.99965383 	0.99993016 	0.80052795 	0.99515395 	0.99993183 	0.12572597 	0.99985229 	0.92705609 	0.95655068 	0.88502208 	0.99991786 	0.99997066 	
          34 	0.99966255 	0.20236524 	0.30465483 	0.92767846 	0.98985405 	0.99976204 	0.99988933 	0.06992805 	0.41070529 	0.99930115 	0.87786252 	0.99969870 	0.99965383 	0.99993016 	0.80052795 	0.99515395 	0.99993183 	0.12572597 	0.99985229 	0.92705609 	0.95655068 	0.92882454 	0.99991786 	0.99997066 	
          35 	0.99964099 	0.15141938 	0.26024233 	0.92305920 	0.98920602 	0.99974684 	0.99988226 	0.01052327 	0.37306635 	0.99925651 	0.87006145 	0.99967945 	0.99963172 	0.99992570 	0.78778744 	0.99484443 	0.99992747 	0.06988507 	0.99985638 	0.92239707 	0.95377552 	0.90529498 	0.99991262 	0.99997200 	
          36 	0.99964099 	0.15141938 	0.26024233 	0.92305920 	0.98920602 	0.99974684 	0.99980324 	0.01052327 	0.37306635 	0.99925651 	0.87006145 	0.99967945 	0.99963172 	0.99992570 	0.78778744 	0.99484443 	0.99991482 	0.06988507 	0.99985638 	0.92239707 	0.95377552 	0.90529498 	0.99990186 	0.99997200 	
          37 	0.99964099 	0.15141938 	0.28683571 	0.92305920 	0.98920602 	0.99974684 	0.99980324 	0.01052327 	0.37306635 	0.99925651 	0.87006145 	0.99967945 	0.99963172 	0.99992570 	0.78778744 	0.99484443 	0.99991482 	0.06988507 	0.99985638 	0.92239707 	0.92094842 	0.90529498 	0.99990186 	0.99997200 	
          38 	0.99964099 	0.15141938 	0.28683571 	0.92305920 	0.98920602 	0.99974684 	0.99982020 	0.01052327 	0.37306635 	0.99925651 	0.91983189 	0.99967945 	0.99963172 	0.99992570 	0.66652314 	0.99484443 	0.99991482 	0.06988507 	0.99985638 	0.92447951 	0.92094842 	0.90529498 	0.99993152 	0.99997200 	
          39 	0.99964099 	0.20955931 	0.35070749 	0.92305920 	0.98920602 	0.99974684 	0.99976033 	0.01052327 	0.37306635 	0.99925651 	0.91983189 	0.99967945 	0.99963172 	0.99992570 	0.67363662 	0.99336770 	0.99991482 	0.06988507 	0.99985638 	0.92447951 	0.92094842 	0.90529498 	0.99981367 	0.99997200 	
          40 	0.99964099 	0.20955931 	0.35070749 	0.92305920 	0.98920602 	0.99974684 	0.99976033 	0.01052327 	0.37306635 	0.99901317 	0.91983189 	0.99967945 	0.99963172 	0.99987622 	0.67363662 	0.99336770 	0.99991482 	0.06988507 	0.99985638 	0.92447951 	0.92094842 	0.90529498 	0.99981367 	0.99993298 	
          41 	0.99964099 	0.59363446 	0.35070749 	0.92305920 	0.98920602 	0.99974684 	0.99976033 	0.01052327 	0.37306635 	0.99901317 	0.91983189 	0.99967945 	0.99963172 	0.99987622 	0.67363662 	0.99336770 	0.99991482 	0.06988507 	0.99985638 	0.92447951 	0.92094842 	0.90529498 	0.99981367 	0.99993298 	
          42 	0.99965213 	0.60624091 	0.37085013 	0.92544609 	0.98954088 	0.99975470 	0.99976776 	0.04121926 	0.39251536 	0.99904379 	0.92231890 	0.99968940 	0.99964315 	0.99988006 	0.68376121 	0.99357345 	0.99991747 	0.09873951 	0.99986083 	0.92682234 	0.92430219 	0.90823296 	0.99981945 	0.99993506 	
          43 	0.99965213 	0.60624091 	0.37085013 	0.92544609 	0.98954088 	0.99975470 	0.99976776 	0.04121926 	0.39251536 	0.99904379 	0.92231890 	0.99976430 	0.99964315 	0.99988006 	0.83290098 	0.98817252 	0.99986717 	0.09873951 	0.99986083 	0.92682234 	0.92430219 	0.83455936 	0.99981945 	0.99993506 	
          44 	0.99966661 	0.62262774 	0.39703306 	0.92854875 	0.98997615 	0.99976491 	0.99977743 	0.08112023 	0.41779667 	0.99908358 	0.92555171 	0.99977411 	0.99864045 	0.99988505 	0.83985503 	0.98606540 	0.99987269 	0.13624670 	0.99986662 	0.92986773 	0.92745246 	0.84144440 	0.99982696 	0.99993776 	
          45 	0.99971298 	0.69851197 	0.39703306 	0.92854875 	0.98997615 	0.99976491 	0.99977743 	0.08112023 	0.41779667 	0.99908358 	0.92555171 	0.99970628 	0.99914549 	0.99988505 	0.86166064 	0.98606540 	0.99987269 	0.51787678 	0.99986662 	0.92986773 	0.92745246 	0.84144440 	0.99982696 	0.99994696 	
          46 	0.99972709 	0.71333224 	0.42667314 	0.93206108 	0.99046889 	0.99977646 	0.99978837 	0.12628965 	0.44641607 	0.99912863 	0.92921137 	0.99972072 	0.99918749 	0.99989070 	0.75558909 	0.98675039 	0.99977854 	0.54157654 	0.99987318 	0.93331523 	0.95754582 	0.84923852 	0.99983547 	0.99994957 	
          47 	0.99970196 	0.68693588 	0.37388122 	0.92580527 	0.98959127 	0.99975588 	0.99976888 	0.04583842 	0.39544207 	0.99904839 	0.92269315 	0.99969500 	0.99940344 	0.99988064 	0.73308374 	0.98553036 	0.99975815 	0.49936492 	0.99986150 	0.91537870 	0.95363664 	0.83535641 	0.99982032 	0.99994493 	
          48 	0.99970196 	0.68693588 	0.37388122 	0.92580527 	0.98959127 	0.99975588 	0.99976888 	0.04583842 	0.63316898 	0.99904839 	0.92269315 	0.99969500 	0.99940344 	0.99988064 	0.73308374 	0.98553036 	0.99975815 	0.49936492 	0.99986150 	0.91537870 	0.95363664 	0.76306626 	0.99964776 	0.99994493 	
          49 	0.99964790 	0.68693588 	0.37388122 	0.92580527 	0.99369690 	0.99982511 	0.99976888 	0.04583842 	0.63316898 	0.99904839 	0.92269315 	0.99954465 	0.99940344 	0.99988064 	0.73308374 	0.98553036 	0.99975815 	0.49936492 	0.99988078 	0.91537870 	0.95363664 	0.76306626 	0.99922119 	0.99994493 	
