#NEXUS

[1 samples from mcmc run generated by language trees. File written 27-Aug-2021 15:46:41]
[This file contains the values of XI at each leaf.]
[For associated trees see same file with .nex extension]
[Sample 	armenian   	lycian   	luvian   	hittite   	oldirish   	welsh   	umbrian   	latin   	oscan   	oldhighgerman   	gothic   	oldenglish   	oldnorse   	lithuanian   	oldprussian   	oldcslavonic   	latvian   	oldpersian   	vedic   	avestan   	tocharian_a   	tocharian_b   	albanian   	greek   	]
         936 	0.20343359 	0.60739046 	0.05269352 	0.33856007 	0.31621662 	0.14852146 	0.65178260 	0.21204896 	0.98702899 	0.14229162 	0.61312913 	0.00340386 	0.75163957 	0.76836153 	0.72493712 	0.68037715 	0.30165822 	0.48926636 	0.28280396 	0.21921684 	0.52635326 	0.39214828 	0.11331656 	0.34278703 	
         937 	0.12745498 	0.69124864 	0.68040340 	0.65457024 	0.90716147 	0.18841754 	0.32282645 	0.61789520 	0.99350253 	0.52292287 	0.69395455 	0.61774081 	0.65554453 	0.68998373 	0.81135551 	0.31654660 	0.87435223 	0.65508185 	0.28569211 	0.42501914 	0.15438874 	0.38232671 	0.48942602 	0.34554529 	
         938 	0.15239923 	0.30378442 	0.62620585 	0.43225627 	0.83113967 	0.61901884 	0.46769543 	0.56675233 	0.99385000 	0.10529135 	0.83114645 	0.74852955 	0.78477482 	0.06474436 	0.90212209 	0.11670048 	0.70058575 	0.69481766 	0.19778137 	0.41407594 	0.13564538 	0.07274940 	0.33654390 	0.03487432 	
         939 	0.81159036 	0.06618948 	0.84859393 	0.74553415 	0.81088739 	0.26177890 	0.03765225 	0.57655135 	0.96974281 	0.82051344 	0.73401353 	0.80024230 	0.87764104 	0.37934786 	0.01874148 	0.44285555 	0.51393476 	0.89716449 	0.03405958 	0.46705385 	0.30358619 	0.34170948 	0.59322530 	0.22066187 	
         940 	0.03490598 	0.52047715 	0.48563547 	0.87611893 	0.85980760 	0.16239914 	0.26139072 	0.38161781 	0.98486321 	0.79058657 	0.40924111 	0.71871802 	0.91872631 	0.12719478 	0.47088669 	0.70833919 	0.18862130 	0.60695731 	0.65377472 	0.13815353 	0.44734862 	0.48691568 	0.26359813 	0.35536685 	
         941 	0.21235721 	0.29876675 	0.36955179 	0.88585745 	0.43358594 	0.70465305 	0.26541285 	0.71706320 	0.88297182 	0.19760888 	0.02295912 	0.79766166 	0.92778897 	0.53950417 	0.81750997 	0.54600794 	0.20240795 	0.29099027 	0.60321003 	0.03956083 	0.38880660 	0.72413435 	0.28354422 	0.26786460 	
         942 	0.24163986 	0.96581672 	0.13645840 	0.60071140 	0.13981659 	0.00598006 	0.83396216 	0.59226011 	0.56651751 	0.02960909 	0.34482347 	0.52027571 	0.17739696 	0.92505202 	0.86851077 	0.31622348 	0.88805449 	0.90953851 	0.18662266 	0.27051928 	0.39541823 	0.62259548 	0.12124940 	0.00251648 	
         943 	0.72012454 	0.94722144 	0.31501562 	0.65835048 	0.75222021 	0.24541528 	0.58000395 	0.16763579 	0.50483655 	0.16772833 	0.22049863 	0.64685978 	0.36285997 	0.79931386 	0.76430170 	0.44261003 	0.67169993 	0.93622493 	0.46208742 	0.34508091 	0.67253151 	0.10925582 	0.53868111 	0.57312387 	
         944 	0.70312941 	0.70378285 	0.58452976 	0.56938373 	0.21295900 	0.41763299 	0.90109682 	0.15380444 	0.07231227 	0.20813424 	0.03062342 	0.56103691 	0.07613412 	0.03354751 	0.45727850 	0.48989719 	0.15399613 	0.94651502 	0.29737663 	0.23298349 	0.62876159 	0.76742965 	0.64309355 	0.39609816 	
         945 	0.92054346 	0.66054297 	0.39115909 	0.50926829 	0.37407438 	0.29941865 	0.95355388 	0.17625702 	0.03963758 	0.33230667 	0.13554847 	0.76334088 	0.29923765 	0.77838186 	0.33997537 	0.19901697 	0.36544623 	0.98941242 	0.50221237 	0.63444688 	0.77444492 	0.27411908 	0.80880156 	0.61181746 	
         946 	0.95157732 	0.63390180 	0.16749290 	0.42696064 	0.54058240 	0.59870852 	0.90339132 	0.34892514 	0.57051331 	0.74347495 	0.16376610 	0.20993810 	0.89297717 	0.47816064 	0.14961006 	0.58174056 	0.65215040 	0.97117142 	0.74906939 	0.47606145 	0.15870487 	0.39161165 	0.69390670 	0.86184951 	
         947 	0.96975573 	0.54600736 	0.20999909 	0.82868781 	0.20647133 	0.39697248 	0.90255181 	0.73931510 	0.89515973 	0.45753482 	0.57511659 	0.00211426 	0.89988324 	0.55977613 	0.31089558 	0.33761177 	0.71497237 	0.97561114 	0.66541331 	0.13168184 	0.14919339 	0.22593284 	0.65651030 	0.48640120 	
         948 	0.98716928 	0.88980161 	0.56499837 	0.86780355 	0.35431744 	0.17426195 	0.21948796 	0.89102910 	0.83281016 	0.79277898 	0.43951217 	0.49854231 	0.95776667 	0.28729541 	0.74091666 	0.50776769 	0.72140177 	0.93428792 	0.76320073 	0.17169700 	0.34719712 	0.31434987 	0.90470447 	0.41993988 	
         949 	0.97327381 	0.68610013 	0.67410622 	0.20473224 	0.28749669 	0.47121397 	0.49275035 	0.05092644 	0.72779642 	0.51319472 	0.89132848 	0.53827132 	0.88463165 	0.12707199 	0.69293225 	0.65534441 	0.85215342 	0.96127630 	0.92455902 	0.64698040 	0.27571588 	0.46145337 	0.70023283 	0.52347233 	
         950 	0.93678716 	0.70090422 	0.77023193 	0.42918887 	0.26842978 	0.91478955 	0.37990353 	0.25477476 	0.59029935 	0.00467041 	0.76308409 	0.76320151 	0.49043135 	0.51455149 	0.47067898 	0.14974064 	0.92102209 	0.95034437 	0.91355177 	0.44356725 	0.18740036 	0.57391613 	0.66555815 	0.12629100 	
         951 	0.90256475 	0.12815611 	0.61840343 	0.41448786 	0.25077585 	0.61978761 	0.72950363 	0.31725502 	0.89216834 	0.37027293 	0.01033791 	0.79462869 	0.11460737 	0.95482719 	0.05816998 	0.53341384 	0.90977537 	0.86823080 	0.87218732 	0.20118407 	0.12287731 	0.16693492 	0.12610708 	0.46799915 	
         952 	0.72624179 	0.03543048 	0.05589442 	0.35413144 	0.46993001 	0.66730602 	0.81302460 	0.16304034 	0.73950791 	0.60038802 	0.13614793 	0.76283627 	0.48215272 	0.78399566 	0.59167153 	0.47353232 	0.93360796 	0.89443674 	0.95433603 	0.59161464 	0.41194873 	0.13459045 	0.45456815 	0.48320431 	
         953 	0.87299566 	0.45134269 	0.53936827 	0.11284310 	0.10308575 	0.75402973 	0.95687138 	0.03605101 	0.03543242 	0.74971756 	0.74705851 	0.35734763 	0.70180742 	0.14168905 	0.55320028 	0.27194341 	0.64578991 	0.78016140 	0.94902917 	0.21587799 	0.77592197 	0.37844939 	0.48995878 	0.47198492 	
         954 	0.97701239 	0.52082175 	0.70852704 	0.56360876 	0.79089501 	0.76375661 	0.95692322 	0.69357563 	0.45540174 	0.77330850 	0.63457905 	0.39705751 	0.38322888 	0.67432376 	0.49717168 	0.74218020 	0.16553279 	0.59563778 	0.98337888 	0.14817535 	0.75214843 	0.37832990 	0.01869869 	0.60089796 	
         955 	0.97671498 	0.52397950 	0.12056822 	0.44536681 	0.42401575 	0.75452304 	0.88720512 	0.64231319 	0.43042527 	0.56974974 	0.35851751 	0.33586314 	0.42818741 	0.92483858 	0.50894055 	0.10489331 	0.71065811 	0.41655960 	0.96481148 	0.34039964 	0.56273170 	0.32823688 	0.57321530 	0.46359326 	
         956 	0.95077988 	0.97955660 	0.37875237 	0.06686773 	0.36318847 	0.93114378 	0.92802188 	0.81493126 	0.11625259 	0.39738107 	0.64978311 	0.20198457 	0.68135821 	0.83685081 	0.86663029 	0.08711203 	0.78620323 	0.14719768 	0.51734458 	0.04438489 	0.84303770 	0.88440141 	0.37985516 	0.02536356 	
         957 	0.97530464 	0.98213235 	0.10255836 	0.21155418 	0.00656701 	0.93880053 	0.80002232 	0.88514863 	0.75535977 	0.59681591 	0.05983610 	0.32678043 	0.46289148 	0.56995482 	0.96946634 	0.10097434 	0.62225800 	0.82265400 	0.68020167 	0.14487899 	0.07565511 	0.33156984 	0.22420576 	0.38610988 	
